Point,Test,wireopt,bitperiod,V_one,V_zero,Vin_AC,Vin_DC,L,Rsource,Rload,fW,current,ind,Rd,Cs,Rs,stage 1 0.1G attenuation,stage 2 0.1G attenuation,Hard Constraint of 2 on 0.1G Status,stage 1 3.5G attenuation,stage 2 3.5G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,Best Attenution,channel 0.1G attenuation,channel 3.5G attenuation,channel 7G attenuation,channel 14G attenuation,channel 28G attenuation,Stage 1 Region,Stage 2 Region
1,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,3.00E-06,0.0008,3.00E-09,625,6.67E-14,700,-0.953,-1.492,TRUE,-5.194,-3.432,-4.888,-0.3255,-6.672,0.5485,-13.04,-5.089,stage 2 14G attenuation,-0.01972,-6.577,-9.067,-13.14,-18.86,2,2
2,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,3.23E-06,0.0008505,2.18E-09,983.4,1.32E-13,786.2,-12.06,-9.523,FALSE,-16.36,-8.556,-18.48,-8.674,-22.95,-13.1,-30.18,-22.57,stage 2 3.5G attenuation,-0.0197,-6.581,-9.077,-13.14,-18.86,1,2
3,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,4.50E-06,0.002167,1.19E-09,183.8,3.59E-14,709.9,-9.558,-19.02,FALSE,-15.04,-23.44,-15.2,-21.29,-14.44,-15.76,-16.82,-13.87,stage 2 28G attenuation,-0.01972,-6.579,-9.068,-13.13,-18.88,2,2
4,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,3.45E-06,0.001467,9.63E-10,1080,4.10E-13,720.8,-36.58,-32.48,FALSE,-42.92,-31.25,-45.32,-33.6,-49.06,-38.69,-54.01,-46.98,stage 2 3.5G attenuation,-0.01969,-6.582,-9.078,-13.15,-18.86,1,2
5,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,7.42E-06,0.001899,1.72E-09,1182,1.22E-13,467.2,-51.22,-43.28,FALSE,-40.96,-30.62,-43.08,-34,-49.6,-45.76,-59.38,-61.55,stage 2 3.5G attenuation,-0.0196,-6.595,-9.106,-13.17,-18.87,1,2
6,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,5.51E-06,0.00133,2.76E-09,628.8,1.36E-13,358.1,-11.76,-7.382,FALSE,-17.74,-10.94,-20.37,-11.56,-26.19,-18.88,-35.57,-32.99,stage 2 3.5G attenuation,-0.01965,-6.586,-9.093,-13.17,-18.88,1,2
7,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,1.09E-06,0.001387,7.58E-10,880.2,1.60E-13,596.6,-15.55,-16.61,FALSE,-20.47,-18.87,-22.55,-20.19,-26.49,-23.94,-32.21,-29.89,stage 2 3.5G attenuation,-0.01975,-6.58,-9.069,-13.13,-18.82,1,2
8,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,2.04E-06,0.0009999,1.53E-09,453.9,5.00E-13,273.9,-0.4291,-0.599,TRUE,-4.001,-1.146,-5.999,-2.647,-9.742,-6.085,-14.89,-10.68,stage 2 3.5G attenuation,-0.01973,-6.579,-9.07,-13.13,-18.83,2,2
9,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,5.98E-06,0.001728,5.62E-10,184.6,3.03E-13,36.65,2.41,4.858,TRUE,-4.353,-2.061,-7.418,-5.589,-13.27,-13.06,-22.52,-25.81,stage 2 3.5G attenuation,-0.01964,-6.586,-9.093,-13.17,-18.88,2,2
10,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,4.16E-06,0.0008816,9.15E-10,157.8,2.24E-13,1272,-15.01,-30.02,FALSE,-9.586,-12.68,-10.15,-11.34,-13.51,-13.95,-19.15,-19.38,stage 1 3.5G attenuation,-0.01974,-6.576,-9.071,-13.14,-18.87,2,2
11,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,8.62E-06,0.001818,1.53E-09,397.3,4.08E-13,1483,-12.62,-19.76,FALSE,-9.035,0.4613,-14.3,-8.246,-23.01,-22.43,-34.04,-38.98,stage 2 3.5G attenuation,-0.01962,-6.6,-9.115,-13.17,-18.87,1,2
12,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,7.22E-06,0.001256,2.73E-09,160.5,8.32E-13,34.54,1.581,3.125,TRUE,-4.355,-2.17,-6.119,-3.116,-10.72,-7.99,-19.7,-20.31,stage 2 3.5G attenuation,-0.01963,-6.587,-9.101,-13.18,-18.88,2,2
13,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,1.10E-06,0.0008792,1.01E-09,127.6,4.40E-14,120.6,-13,-26.1,FALSE,-19.44,-32.41,-21.58,-34.2,-24.44,-35.84,-26.93,-35.15,stage 1 3.5G attenuation,-0.01975,-6.58,-9.068,-13.13,-18.81,2,2
14,ECE740_tb_channel_CTLE_ML_1,19,1/56G,0.9,0.5,1,0.7,2.00E-08,0,50,8.59E-06,0.002247,1.46E-09,180.3,8.45E-13,960.9,-10.1,-20.12,FALSE,-1.461,4.028,-6.516,-3.321,-14.75,-15.63,-24.64,-29.7,stage 2 3.5G attenuation,-0.01968,-6.595,-9.117,-13.18,-18.87,2,2
